element,id,geometry,ele,gnis:feature_id,name,place,wikidata,wikimedia_commons,wikipedia,alt_name,name:zh,elevation,population,name:pronunciation,website,historic,tourism,landuse,phone,type,admin_level,boundary
node,140982556,POINT (-122.4869164 37.7885406),26,1655550,Seacliff,neighbourhood,Q427116,,,,,,,,,,,,,,,
node,140982723,POINT (-122.460919 37.7882277),76,1655501,Presidio Terrace,neighbourhood,Q7241541,Category:Presidio Terrace,en:Presidio Terrace,,,,,,,,,,,,,
node,140983070,POINT (-122.4298089 37.7855789),46,1655436,Japantown,neighbourhood,Q6159207,,,Nihonmachi,日本城,,,,,,,,,,,
node,140983115,POINT (-122.4680272 37.7346534),105,1655521,Saint Francis Wood,neighbourhood,Q7588003,,,,,,,,,,,,,,,
node,140983295,POINT (-122.4635825 37.7474307),182,1655385,Forest Hill,neighbourhood,Q3077158,,,,,,,,,,,,,,,
node,140983304,POINT (-122.4566383 37.7846516),66,1655428,Jordan Park,neighbourhood,Q125297233,,,,,62,,,,,,,,,,
node,1229745499,POINT (-122.3892016 37.7606977),,,Dogpatch,neighbourhood,Q5288411,,"en:Dogpatch, San Francisco",Dogpatch Historic District,,,,,,,,,,,,
node,1281059717,POINT (-122.3911499 37.7798139),,,South Beach,neighbourhood,,,,,南滩区,,,,,,,,,,,
node,1680264818,POINT (-122.4530266 37.7887511),,,Presidio Heights,neighbourhood,,,,,普雷西迪奥高地,,,,,,,,,,,
node,1680267840,POINT (-122.4389042 37.7857666),,,Lower Pacific Heights,neighbourhood,Q6693691,,,,下太平洋高地,,,,,,,,,,,
node,1680428423,POINT (-122.4423502 37.7768823),,,North of Panhandle,neighbourhood,,,,NoPa,北潘汉德尔区,,,,,,,,,,,
node,1680446980,POINT (-122.4362477 37.7972616),,,Cow Hollow,neighbourhood,,,,,牛谷区,,,,,,,,,,,
node,1680468587,POINT (-122.417094 37.8000729),,,Russian Hill,neighbourhood,Q339055,,"en:Russian Hill, San Francisco",,俄罗斯山,,,,,,,,,,,
node,1680475626,POINT (-122.4040908 37.800785),,,Telegraph Hill,neighbourhood,Q1283754,,,,电报山,,,,,,,,,,,
node,2094547197,POINT (-122.4499624 37.7658133),,,Cole Valley,neighbourhood,Q5142696,,,,科尔谷区,,,,,,,,,,,
node,2094547200,POINT (-122.4663665 37.7403434),,,West Portal,neighbourhood,Q7986279,,,,,,,,,,,,,,,
node,2297131599,POINT (-122.4084365 37.7768086),,,West SoMa,neighbourhood,,,,,西索玛,,,,,,,,,,,
node,4609282233,POINT (-122.4431489 37.7808364),,,Anza Vista,neighbourhood,Q2857899,,"en:Anza Vista, San Francisco",,,,,,,,,,,,,
node,4609282237,POINT (-122.43223 37.7671382),,,Duboce Triangle,neighbourhood,Q5311050,,"en:Duboce Triangle, San Francisco",,,,,dʊˈboʊz ˈtɹaɪˌæŋɡəl,,,,,,,,
node,4609282244,POINT (-122.4229361 37.7766853),,,Hayes Valley,neighbourhood,Q3128858,,"en:Hayes Valley, San Francisco",,,,,,,,,,,,,
node,4609282245,POINT (-122.3715718 37.7267715),,,Hunters Point,neighbourhood,Q2892361,,,,,,,,,,,,,,,
node,4609282247,POINT (-122.457483 37.7136512),,,Ocean View,neighbourhood,Q7076102,,"en:Oceanview, San Francisco",Oceanview,,,,,,,,,,,,
node,4609282251,POINT (-122.407159 37.7875138),,,Union Square,neighbourhood,Q527972,,,Downtown,,,,,,,,,,,,
node,5458228244,POINT (-122.3968649 37.7539179),,,Potrero Terrace,neighbourhood,,,,,,,,,http://www.sf-ha.org/potrero-terrace.html,,,,,,,
node,5458251423,POINT (-122.4243889 37.7330885),,,St. Mary's Park,neighbourhood,,,,,,,,,,,,,,,,
node,5684909797,POINT (-122.4000282 37.7338538),,,Silver Terrace,neighbourhood,Q55449987,,,,,,,,,,,,,,,
node,6356958471,POINT (-122.3854586 37.7614544),,,Pier 70,neighbourhood,Q7191708,,"en:Pier 70, San Francisco",,,,,,,nieghborhood,,,,,,
node,8386071500,POINT (-122.3924078 37.786147),,,Rincon Hill,neighbourhood,Q7334615,,"en:Rincon Hill, San Francisco",,,,,,,,,,,,,
node,8386071501,POINT (-122.397615 37.7877822),,,Transbay,neighbourhood,Q7414128,,en:San Francisco Transbay development,,,,,,,,,,,,,
node,9900902252,POINT (-122.4589455 37.7542725),,,Forest Knolls,neighbourhood,,,,,,,,,,,,,,,,
node,10139016054,POINT (-122.415202 37.7884163),,,Lower Nob Hill,neighbourhood,Q7699632,,en:Lower Nob Hill Apartment Hotel District,Tendernob;Upper Tenderloin,,,,,,,,,,,,
node,11283438662,POINT (-122.4165913 37.8081325),,,Fisherman's Wharf,neighbourhood,Q1324280,"Category:Fisherman's Wharf, San Francisco","en:Fisherman's Wharf, San Francisco",,,,,,https://fishermanswharf.org/,,attraction,,,,,
node,11903199249,POINT (-122.4685667 37.7317099),,,Balboa Terrace,neighbourhood,Q56145892,,"en:Balboa Terrace, San Francisco",,,,,,,,,,,,,
node,11903199250,POINT (-122.4681517 37.724623),,,Ingleside Terraces,neighbourhood,Q6032653,,"en:Ingleside Terraces, San Francisco",,,,,,,,,,,,,
node,11903199254,POINT (-122.4874401 37.742375),,,Parkside,neighbourhood,Q7138699,,"en:Parkside, San Francisco",,,,,,,,,,,,,
node,11903199255,POINT (-122.4392078 37.7422856),,,Diamond Heights,neighbourhood,Q3026094,,"en:Diamond Heights, San Francisco",,,,,,,,,,,,,
