element,id,geometry,ele,gnis:feature_id,name,name:en,name:zh,place,wikidata,alt_name,name:pronunciation,wikipedia,wikimedia_commons,population,population:date,name:en:pronunciation,name:es
node,140982615,POINT (-122.4374715 37.8029843),7,1659062,Marina District,Marina District,马里纳区,quarter,Q933336,,,,,,,,
node,140982670,POINT (-122.446982 37.770028),,1655404,Haight-Ashbury,Haight-Ashbury,海特-黑什伯里区,quarter,Q1027700,Haight/Ashbury,ˌheɪt ˈæʃbɛɹi,en:Haight-Ashbury,,,,,
node,140982692,POINT (-122.4385868 37.7093777),130,256021,Crocker-Amazon,,,quarter,Q5187311,,,"en:Crocker-Amazon, San Francisco",,,,,
node,140982758,POINT (-122.4356445 37.7927171),82,1655485,Pacific Heights,,,quarter,Q1546101,,,"en:Pacific Heights, San Francisco",,,,,
node,140983005,POINT (-122.3980262 37.759652),62,1659428,Potrero Hill,,,quarter,Q3400108,Potrero District,,en:Potrero Hill,,,,,
node,140983101,POINT (-122.4559529 37.721932),,1658824,Ingleside,,,quarter,Q124309053,,,,"Category:Ingleside, San Francisco",,,,
node,140983204,POINT (-122.4090021 37.8011749),5,1659245,North Beach,,北滩区,quarter,Q2000502,,,"en:North Beach, San Francisco",,,,,
node,409001600,POINT (-122.4320814 37.7515906),,,Noe Valley,,诺伊谷,quarter,Q3342640,,,,,,,,
node,1281064683,POINT (-122.4676432 37.76145),,,Inner Sunset,Inner Sunset,内日落区,quarter,,,,,,,,,
node,1680475636,POINT (-122.4155921 37.7944792),,,Nob Hill,,诺布山区,quarter,Q7466,,,,,,,,
node,1680493097,POINT (-122.3989378 37.7936467),,,Financial District,,金融区,quarter,Q599301,,,,,,,,
node,2094662089,POINT (-122.3911712 37.7707742),,,Mission Bay,,米慎湾,quarter,Q6878535,,,"en:Mission Bay, San Francisco",,,,,
node,3111994564,POINT (-122.434957 37.7608561),,,Castro District,Castro District,卡斯楚区,quarter,Q956169,The Castro,,"en:Castro District, San Francisco",,,,,
node,3639535348,POINT (-122.4063757 37.7943011),29,,Chinatown,,中国城,quarter,Q1073644,,,,,9648,2013,,
node,4609282235,POINT (-122.4142136 37.7410008),,,Bernal Heights,,,quarter,Q3343204,,,"en:Bernal Heights, San Francisco",,,,,
node,4609282236,POINT (-122.4167938 37.7795939),,,Civic Center,,,quarter,Q267874,,,"en:Civic Center, San Francisco",,,,,
node,4609282239,POINT (-122.4353815 37.7217943),,,Excelsior,,,quarter,Q3061804,,,"en:Excelsior District, San Francisco",,,,,
node,4609282240,POINT (-122.4344696 37.734281),,,Glen Park,,,quarter,Q965932,,,"en:Glen Park, San Francisco",,,,,
node,4609282248,POINT (-122.4085514 37.726379),,,Portola,,,quarter,,,,,,,,,
node,4609282250,POINT (-122.4139933 37.7842493),,,Tenderloin,,,quarter,Q7464,,,"en:Tenderloin, San Francisco","Category:Tenderloin, San Francisco",,,,
node,4609282253,POINT (-122.4097128 37.7121319),,,Visitacion Valley,Visitacion Valley,訪谷區,quarter,Q7936299,,ˌvɪzɪˈteɪʃən ˈvæli,"en:Visitacion Valley, San Francisco",,,,ˌvɪzɪˈteɪʃən ˈvæli,Valle Visitación
node,11903199251,POINT (-122.5061507 37.7541496),,,Outer Sunset,,,quarter,,,,,,,,,
node,11903199252,POINT (-122.4977862 37.7753252),,,Outer Richmond,,,quarter,,,,,,,,,
node,11903199253,POINT (-122.4641875 37.7786189),,,Inner Richmond,,,quarter,,,,,,,,,
way,635461643,"POLYGON ((-122.435435 37.741246, -122.4354325 37.7409206, -122.4356321 37.7405849, -122.4363453 37.7393355, -122.4365602 37.7388837, -122.4367748 37.7386144, -122.4370668 37.7384553, -122.4373648 37.7383683, -122.4377243 37.7383641, -122.4395106 37.7387331, -122.4398137 37.7387034, -122.43998 37.7386356, -122.4401168 37.7384935, -122.4402375 37.738205, -122.4402214 37.7380056, -122.4399505 37.7377108, -122.439811 37.7375177, -122.4397976 37.7370468, -122.4398244 37.7355684, -122.4398803 37.7352884, -122.4400175 37.7348472, -122.4375408 37.7316715, -122.4367203 37.7316851, -122.4362824 37.7318516, -122.4352423 37.7322827, -122.4350116 37.7323765, -122.4345851 37.7325498, -122.4312548 37.7338312, -122.4291302 37.7348531, -122.4268073 37.7363871, -122.4254797 37.7375553, -122.4250762 37.7380334, -122.4246923 37.7386546, -122.4242794 37.7398586, -122.4243781 37.7398579, -122.424519 37.7398569, -122.4277854 37.7396614, -122.42984 37.740753, -122.4303547 37.7402041, -122.430932 37.7404934, -122.4315504 37.7409736, -122.4317698 37.7412453, -122.4318759 37.7413802, -122.4319887 37.7415217, -122.4324271 37.741779, -122.432781 37.741899, -122.4329694 37.7419299, -122.433259 37.741903, -122.433292 37.741809, -122.433977 37.741615, -122.4343216 37.7415227, -122.4343824 37.7416032, -122.4351515 37.7426223, -122.4355397 37.7426118, -122.4355093 37.7422235, -122.4355938 37.7417507, -122.435435 37.741246))",,,Glen Park,,,quarter,Q965932,,,"en:Glen Park, San Francisco",,,,,
way,635461859,"POLYGON ((-122.4230948 37.7406475, -122.419818 37.739307, -122.4205395 37.7381143, -122.4204848 37.7380476, -122.4200876 37.738214, -122.4197925 37.7382638, -122.4193205 37.7381885, -122.4190201 37.7379923, -122.4188055 37.7375883, -122.4188001 37.7372754, -122.4189034 37.7369466, -122.4191998 37.7365521, -122.419704 37.7362381, -122.4201563 37.7361583, -122.4202285 37.7350751, -122.4168213 37.7348994, -122.4118042 37.7346884, -122.411619 37.736964, -122.4091578 37.7368465, -122.4090782 37.7377087, -122.4090373 37.7381519, -122.4089717 37.7388625, -122.4089683 37.7388921, -122.4089015 37.7396218, -122.4088954 37.7396887, -122.4084125 37.7405439, -122.4083621 37.7412297, -122.4080082 37.7418637, -122.4074905 37.7422932, -122.4074074 37.7423297, -122.4066245 37.7433449, -122.4056078 37.7450064, -122.4051153 37.7466481, -122.4050209 37.7472938, -122.4049726 37.7481211, -122.405738 37.7487354, -122.4069526 37.7487581, -122.4081622 37.7483088, -122.4182761 37.7481015, -122.4220187 37.7423122, -122.4230948 37.7406475))",,,Bernal Heights,,,quarter,Q3343204,,,"en:Bernal Heights, San Francisco",,,,,
