element,id,geometry,addr:city,addr:postcode,addr:state,addr:street,building,height,type,ele,gnis:feature_id,name,name:en,name:etymology,name:etymology:wikidata,name:etymology:wikipedia,natural,old_name,old_name:etymology,old_name:etymology:wikidata,old_name:etymology:wikipedia,tourism,water,website,wikidata,wikimedia_commons,addr:housenumber,building:levels,roof:levels,addr:country,air_conditioning,brand,email,fax,internet_access,phone,rooms,smoking,landuse,nhd:reach_code,source,addr:housename,addr:county,attribution,description,changing_table,fee,opening_hours,wikipedia,highway,surface,level,lit,place,wheelchair,layer,source:addr:housenumber,boundary,leisure,amenity,emergency,healthcare,healthcare:for,operator,operator:short,operator:wikidata,operator:wikipedia,short_name,mobile,name:zh,dog,alt_name,brand:wikidata,internet_access:fee,name:ko,sport,denomination,religion,area,operator:type,protect_class,building:part,abandoned,check_date,disused:amenity,note,shop,contact:facebook,contact:instagram,contact:youtube,payment:cash,payment:credit_cards,payment:debit_cards,start_date,architect,community,community:gender,community:wikidata,access,building:material,official_name,name:he,building:colour,roof:colour,parking,colour,man_made,operator:email,operator:phone,tower:type,demolished:building,artist_name,artwork_type,material,contact:website,name:pt,service_times,operator:short_name,operator:website,owner,owner:short_name,owner:type,owner:wikidata,ownership,protected,protected_area,protection_title,landcover,nudism,communication:amateur_radio:pota,defensive_works,heritage,historic,attraction,name:es,zoo,min_height,disused,military,camping,clothing-optional,fire,glass,thong,topless,lanes,note:access,bridge,bar,internet_access:ssid,payment:american_express,payment:visa,reservation,url,name:kn,roof:shape,baseball,garden:type,bicycle,diocese,disused:landuse,source:operator,grades,fixme,crane:type,name:cmn,name:cmn-Hans,name:cmn-Hans-CN,name:cmn-Hans-SG,name:cmn-Hant,name:cs,name:de,name:oc,name:vi,name:yue,name:zh-Hans,name:zh-Hans-CN,name:zh-Hans-SG,name:zh-Hant,name:zh-Hant-HK,name:zh-Hant-TW,seamark:light:period,seamark:light:range,seamark:name,generator:source,power,building:min_level,seamark:type,golf,foot,salt,tidal,wetland,building:flats,drinking_water,office,leaf_type,floating,location,ref,noname,substation,voltage,disused:power,disused:highway,playground:theme,toilets,area:highway,crossing,crossing:markings,crossing:signals,footway,seamark:harbour:category,capacity,park_ride,surface:colour,was:building,was:amenity,leaf_cycle,artist:wikidata,artist:wikipedia,building:use,indoor,fountain,heritage:operator,heritage:website,museum,nrhp:criteria,nrhp:inscription_date,old_name:1940-1996,ref:nrhp,source_ref,hazard,addr:district,contact:fax,contact:phone,pipeline,substance,max_age,min_age,roof:material
relation,12908,"POLYGON ((-122.4776061 37.7701585, -122.4776008 37.7702422, -122.4775695 37.7703182, -122.4775094 37.7703789, -122.4773708 37.7704714, -122.4772886 37.77051, -122.4772506 37.7705217, -122.4772278 37.7705233, -122.4771772 37.7705179, -122.4770829 37.7705056, -122.4770255 37.770497, -122.4769731 37.7704981, -122.4769582 37.7705023, -122.4768698 37.7705273, -122.4767565 37.7705627, -122.4766523 37.7706156, -122.4765882 37.7706314, -122.476531 37.7706196, -122.476494 37.7705801, -122.4764686 37.7704956, -122.476459 37.7704154, -122.4764581 37.7703142, -122.4764369 37.7702222, -122.4763842 37.7701594, -122.4763198 37.7701195, -122.4762255 37.7700961, -122.4759034 37.7700583, -122.4756687 37.7700203, -122.4754418 37.7699901, -122.4753034 37.769951, -122.4751949 37.7698966, -122.4749578 37.7697324, -122.4747686 37.7696318, -122.4746066 37.7695582, -122.4741653 37.7694218, -122.4740229 37.7693987, -122.4738967 37.7693921, -122.4737423 37.7694067, -122.4731091 37.769522, -122.4729282 37.7695456, -122.4726106 37.7695784, -122.4724334 37.7696007, -122.471741 37.7697304, -122.4716571 37.7697187, -122.4716176 37.7696872, -122.4716041 37.7696421, -122.4716223 37.7695999, -122.4716815 37.7695492, -122.4721198 37.7692823, -122.4723434 37.7691375, -122.4725376 37.7689752, -122.4726895 37.7688134, -122.4728351 37.7686205, -122.472907 37.768473, -122.4729531 37.7683011, -122.4729877 37.7680904, -122.4730157 37.7679043, -122.4730761 37.7676428, -122.4731352 37.7675306, -122.4732235 37.7674265, -122.4733202 37.7673714, -122.4734352 37.7673363, -122.4735456 37.7673272, -122.4736638 37.7673376, -122.4737796 37.767376, -122.4738645 37.7674352, -122.4739375 37.7675073, -122.4739783 37.7675373, -122.4740247 37.7675455, -122.4740791 37.7675357, -122.474206 37.7674949, -122.4743589 37.7674652, -122.4745438 37.767446, -122.4747684 37.7674381, -122.4750314 37.767448, -122.4752923 37.7674735, -122.4755604 37.7675221, -122.4758142 37.7675964, -122.4764498 37.7678372, -122.476593 37.7678687, -122.4767223 37.7678781, -122.4768694 37.7678836, -122.4769654 37.7678771, -122.477048 37.76786, -122.47711 37.7678148, -122.4771398 37.7677616, -122.4771458 37.7676676, -122.4771588 37.7675857, -122.4771989 37.7675391, -122.4772492 37.7675304, -122.477298 37.7675556, -122.4773495 37.7676073, -122.4773894 37.7676981, -122.4774371 37.7678613, -122.4774729 37.7680321, -122.4774898 37.7682116, -122.477472 37.7683065, -122.4773762 37.7685909, -122.4773589 37.7687006, -122.4773727 37.7688185, -122.477369 37.76894, -122.4773919 37.7690213, -122.4774824 37.7691852, -122.4775174 37.7692881, -122.4775102 37.7693796, -122.4774702 37.7694685, -122.477443 37.7695485, -122.4774437 37.7696233, -122.4774681 37.7697111, -122.477509 37.769801, -122.4775778 37.770036, -122.4776061 37.7701585), (-122.4773755 37.7681887, -122.4773138 37.7680352, -122.4772707 37.7679967, -122.4772359 37.7680074, -122.4772115 37.7680392, -122.4772012 37.7681029, -122.4772229 37.7681601, -122.4772681 37.7682162, -122.4773254 37.7682453, -122.4773708 37.7682319, -122.4773755 37.7681887), (-122.4761573 37.7678779, -122.4759377 37.7678114, -122.4757106 37.7677532, -122.4754659 37.7677138, -122.4752224 37.7676918, -122.4749673 37.7676803, -122.4745297 37.7676802, -122.4743776 37.7676865, -122.4742359 37.7677049, -122.474098 37.767751, -122.4739677 37.7678065, -122.4737095 37.7679528, -122.4736045 37.7680267, -122.4735457 37.7681113, -122.473525 37.7682071, -122.4735208 37.7683, -122.4735437 37.7684191, -122.47364 37.7687064, -122.47375 37.7689046, -122.4737336 37.7690511, -122.4737897 37.7691311, -122.47387 37.7691819, -122.4739914 37.7692293, -122.4745013 37.7693793, -122.4748254 37.7694517, -122.4756164 37.7695851, -122.4761276 37.7697035, -122.476319 37.7697228, -122.4765206 37.7697103, -122.4766814 37.7696669, -122.476816 37.7695809, -122.4769086 37.7694448, -122.4770035 37.7692266, -122.4770518 37.769089, -122.4770781 37.7689374, -122.4770829 37.768796, -122.4770568 37.7686415, -122.4770002 37.7684931, -122.4769064 37.7683353, -122.4767645 37.7681899, -122.4766271 37.7680933, -122.4764581 37.7680011, -122.4761573 37.7678779), (-122.4732629 37.7690082, -122.4731823 37.7690404, -122.4731165 37.7690589, -122.4730524 37.7690696, -122.4729876 37.7690748, -122.4729394 37.7690907, -122.4729176 37.7691119, -122.4729101 37.7691401, -122.4729267 37.7691739, -122.4729661 37.7691968, -122.4730514 37.7692254, -122.4731752 37.7692529, -122.4732717 37.7692646, -122.4733699 37.7692651, -122.4734126 37.7692546, -122.4734417 37.7692302, -122.4734451 37.7691999, -122.4734309 37.7691474, -122.4733978 37.7690802, -122.4733589 37.7690192, -122.4733294 37.7689997, -122.4732954 37.768999, -122.4732629 37.7690082), (-122.4770215 37.7698922, -122.4769383 37.7698896, -122.4768671 37.7699183, -122.4768312 37.7699807, -122.4768166 37.7700436, -122.4768205 37.7701046, -122.4768469 37.770174, -122.4769012 37.7702381, -122.4769674 37.7702697, -122.4770451 37.7702814, -122.4771163 37.7702684, -122.4771804 37.7702265, -122.4771996 37.7701724, -122.4771974 37.7700955, -122.4771623 37.7700042, -122.4771301 37.7699645, -122.4770997 37.769927, -122.4770215 37.7698922))",,,,,,,multipolygon,87,235569,Blue Heron Lake,Blue Heron Lake,Great Blue Heron,Q333796,en:Great blue heron,water,Stow Lake,William W. Stow,Q116225246,en:William W. Stow,yes,lake,https://sfrecpark.org/Facilities/Facility/Details/Stow-Lake-410,Q121872674,Category:Blue Heron Lake (San Francisco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,133347,"POLYGON ((-122.3684729 37.8213872, -122.3678971 37.8214683, -122.3677988 37.8210329, -122.3683747 37.8209518, -122.3684729 37.8213872), (-122.3682167 37.821232, -122.3682018 37.8211587, -122.3680169 37.8211821, -122.3680318 37.8212554, -122.3682167 37.821232))",,,,4th Street,abandoned,,multipolygon,,,Treasure Island Personnel Support Detachment,,,,,,,,,,,,,,,550,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,133351,"POLYGON ((-122.3743896 37.8278661, -122.3744538 37.8279612, -122.3746963 37.8283204, -122.3744438 37.8284264, -122.3742283 37.8281089, -122.3741355 37.8279722, -122.3739935 37.8280323, -122.3740115 37.8280589, -122.3739021 37.8281052, -122.3739352 37.8281535, -122.3738214 37.8282006, -122.3737881 37.8281527, -122.3736168 37.8282254, -122.3735567 37.8281406, -122.3735134 37.8281585, -122.3736022 37.8282927, -122.37349 37.8283416, -122.3734562 37.828294, -122.3733582 37.8283351, -122.3732244 37.8281354, -122.3733244 37.8280929, -122.3732917 37.8280441, -122.3734022 37.8279977, -122.3734944 37.82813, -122.3735387 37.8281105, -122.3734821 37.8280245, -122.3736414 37.8279589, -122.3736094 37.8279101, -122.3737227 37.8278616, -122.3737547 37.8279097, -122.3738775 37.8278589, -122.3738954 37.8278837, -122.3740363 37.8278241, -122.3739864 37.8277467, -122.3742315 37.8276436, -122.374273 37.8277034, -122.3743482 37.827672, -122.3744459 37.8278178, -122.3744381 37.8278209, -122.3744511 37.8278409, -122.3743896 37.8278661), (-122.3739524 37.8279002, -122.374012 37.8279907, -122.3741181 37.8279471, -122.3740585 37.8278566, -122.3739524 37.8279002))",,,,,retail,,multipolygon,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,1358120,"POLYGON ((-122.4129732 37.8084746, -122.4126947 37.8085074, -122.4126763 37.8085086, -122.4126623 37.8085063, -122.4126453 37.8085, -122.4126329 37.8084914, -122.412623 37.8084779, -122.41262 37.808464, -122.4124782 37.8077708, -122.4138854 37.8076071, -122.4139128 37.8077492, -122.4140288 37.8083504, -122.4129732 37.8084746), (-122.4135611 37.808175, -122.413537 37.8081777, -122.4134794 37.8078608, -122.4134917 37.8078594, -122.4134871 37.8078341, -122.4131559 37.8078716, -122.4131619 37.8079046, -122.4131854 37.8079019, -122.4132495 37.8082547, -122.413569 37.8082185, -122.4135611 37.808175))",San Francisco,94133,CA,Beach Street,yes,,multipolygon,,,Hotel Zephyr San Francisco,,,,,,,,,,hotel,,https://www.hotelzephyrsf.com,Q111393372,,250,,,US,yes,Independent,reservations@hotelzephyrsf.com,+1-415-986-7853,yes,+1-415-617-6565,361,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,1361060,"POLYGON ((-122.4078369 37.8058351, -122.4071509 37.8059266, -122.4070815 37.8055857, -122.4077675 37.8054993, -122.4078369 37.8058351), (-122.4076569 37.8057483, -122.4076436 37.8056759, -122.4076772 37.805672, -122.4076701 37.8056334, -122.4075221 37.8056504, -122.4075425 37.8057614, -122.4076569 37.8057483), (-122.4072688 37.8056827, -122.407282 37.8057551, -122.4072484 37.8057589, -122.4072554 37.8057975, -122.4074035 37.8057807, -122.4073832 37.8056696, -122.4072688 37.8056827))",,,,,yes,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,1361061,"POLYGON ((-122.4139229 37.8058993, -122.4138094 37.8059135, -122.413768 37.8057067, -122.4138827 37.8056923, -122.4139229 37.8058993))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,1361062,"POLYGON ((-122.424705 37.804101, -122.4246951 37.8040514, -122.424642 37.8040581, -122.4246375 37.8040356, -122.4244254 37.804062, -122.4244317 37.8040935, -122.424363 37.8041021, -122.4243713 37.8041437, -122.4242209 37.8041624, -122.424207 37.8040921, -122.4241235 37.8041025, -122.4241357 37.8041632, -122.4240998 37.8041677, -122.4241018 37.8041775, -122.423607 37.8042391, -122.4235604 37.8040055, -122.4235462 37.8040072, -122.4234969 37.8037603, -122.4235114 37.8037585, -122.4234641 37.8035214, -122.4239531 37.8034605, -122.4239672 37.803531, -122.4241007 37.8035144, -122.4240866 37.8034436, -122.4242295 37.8034258, -122.424242 37.8034887, -122.4245251 37.8034534, -122.4245215 37.8034353, -122.4245615 37.8034303, -122.4245515 37.8033804, -122.4247476 37.803356, -122.4248914 37.8040778, -122.424705 37.804101), (-122.4241631 37.8038585, -122.4240481 37.8038726, -122.4240255 37.8037578, -122.4241434 37.8037434, -122.4241195 37.8036221, -122.4240795 37.803627, -122.4240671 37.8035638, -122.4239765 37.8035749, -122.4239781 37.8035831, -122.42373 37.8036136, -122.423823 37.8040868, -122.4241989 37.8040406, -122.4241631 37.8038585))",,,,Francisco Street,school,,multipolygon,,,,,,,,,,,,,,,,,,1150,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,1361063,"POLYGON ((-122.4139229 37.8058993, -122.4138827 37.8056923, -122.4140529 37.805671, -122.4141008 37.8059103, -122.4139294 37.8059317, -122.4139229 37.8058993))",,,,Bay Street,apartments,,multipolygon,,,,,,,,,,,,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,1402234,"POLYGON ((-122.4665335 37.7724024, -122.4665308 37.7723897, -122.4665335 37.7722466, -122.4665281 37.7721978, -122.4665094 37.7721321, -122.4664866 37.7720727, -122.4664021 37.771866, -122.4663176 37.7716614, -122.4662666 37.7715437, -122.4662639 37.7715289, -122.4662773 37.7715204, -122.4662961 37.7715257, -122.4663176 37.7715437, -122.4663726 37.7715787, -122.4664477 37.7716232, -122.4665241 37.7716635, -122.4665979 37.7716964, -122.4667119 37.7717324, -122.4668326 37.77176, -122.4669318 37.7717674, -122.4669546 37.7717727, -122.4669626 37.7717822, -122.466964 37.7717971, -122.4669533 37.7718119, -122.4668768 37.771866, -122.4667937 37.7719275, -122.4667105 37.7720102, -122.4666528 37.7720865, -122.4666099 37.7721692, -122.4665818 37.7722381, -122.4665697 37.772308, -122.4665643 37.7723812, -122.466563 37.7724035, -122.4665456 37.7724077, -122.4665335 37.7724024), (-122.4666129 37.7718836, -122.4666245 37.7718746, -122.4666327 37.771865, -122.4666385 37.7718543, -122.4666419 37.7718408, -122.4666412 37.7718263, -122.4666375 37.771815, -122.4666326 37.7718065, -122.4666245 37.7717971, -122.4666153 37.7717897, -122.4666036 37.7717832, -122.4665913 37.7717787, -122.4665763 37.7717757, -122.4665606 37.7717752, -122.4665465 37.7717769, -122.4665333 37.7717806, -122.4665202 37.7717866, -122.4665079 37.7717953, -122.4664993 37.7718045, -122.4664927 37.7718156, -122.4664888 37.771829, -122.4664888 37.7718429, -122.4664938 37.7718584, -122.4665008 37.771869, -122.4665112 37.7718791, -122.4665231 37.7718867, -122.4665372 37.7718925, -122.4665541 37.771896, -122.4665715 37.7718965, -122.4665878 37.771894, -122.4666005 37.7718899, -122.4666129 37.7718836))",,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,1439751,"POLYGON ((-122.4863561 37.7666498, -122.4862066 37.7667107, -122.4861516 37.7667235, -122.486106 37.7667281, -122.4860569 37.76673, -122.4859913 37.7667338, -122.485861 37.7667682, -122.4857642 37.7667957, -122.4855859 37.7668025, -122.4855264 37.7668099, -122.4854939 37.7668057, -122.4854655 37.7667837, -122.4854388 37.7667464, -122.485418 37.766697, -122.4853972 37.766653, -122.4853942 37.7666047, -122.485372 37.7665568, -122.4853488 37.7665149, -122.4853446 37.7664959, -122.4853419 37.7664757, -122.4853419 37.7664293, -122.4853321 37.7663817, -122.4853348 37.7663397, -122.4853597 37.7663061, -122.4854141 37.7662918, -122.4854932 37.7662794, -122.4856129 37.7662495, -122.4856616 37.7662329, -122.4857196 37.7662132, -122.4857819 37.7662118, -122.4858334 37.7662215, -122.4858983 37.7662052, -122.4859144 37.7661957, -122.485926 37.7661861, -122.4859489 37.7661825, -122.4859718 37.7661833, -122.486184 37.7661921, -122.4862739 37.7661927, -122.4864882 37.766158, -122.4867119 37.7661249, -122.4870023 37.7660568, -122.4870807 37.7660448, -122.4871648 37.7660353, -122.487275 37.7660109, -122.487384 37.7659874, -122.4874587 37.7659875, -122.4874693 37.7660266, -122.4873741 37.7660785, -122.4872439 37.7661424, -122.4871202 37.7662127, -122.4869888 37.7662897, -122.4868798 37.766388, -122.4866553 37.7664979, -122.4864543 37.7666047, -122.4863561 37.7666498), (-122.4860062 37.7665374, -122.4860373 37.7665101, -122.4860403 37.7664926, -122.4860297 37.7664697, -122.4860052 37.7664552, -122.4859641 37.7664484, -122.4859289 37.7664489, -122.4858816 37.766455, -122.4858332 37.7664715, -122.4857709 37.7664989, -122.4857433 37.766521, -122.4857294 37.7665429, -122.4857364 37.7665705, -122.4857571 37.7665869, -122.4858125 37.7665979, -122.4858955 37.7665923, -122.4859301 37.7665813, -122.4860062 37.7665374))",,,,,,,multipolygon,44,227981,Mallard Lake,,,,,water,,,,,,lake,,Q123247714,,,,,,,,,,,,,,,18050006001242,NHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
